framework              , test                                                         , time    
$mol_wire              , createComputations1to1                                       , 44.07   
$mol_wire              , createComputations2to1                                       , 41.66   
$mol_wire              , createComputations4to1                                       , 39.12   
$mol_wire              , createComputations1000to1                                    , 37.58   
$mol_wire              , createComputations1to2                                       , 41.67   
$mol_wire              , createComputations1to4                                       , 40.45   
$mol_wire              , createComputations1to8                                       , 41.34   
$mol_wire              , createComputations1to1000                                    , 41.25   
$mol_wire              , updateComputations1to1                                       , 40.45   
$mol_wire              , updateComputations2to1                                       , 38.20   
$mol_wire              , updateComputations4to1                                       , 36.84   
$mol_wire              , updateComputations1000to1                                    , 36.53   
$mol_wire              , updateComputations1to2                                       , 37.58   
$mol_wire              , updateComputations1to4                                       , 39.60   
$mol_wire              , updateComputations1to1000                                    , 37.04   
$mol_wire              , 10x5 - 2 sources - read 20% (simple component)               , 240.76  
$mol_wire              , 10x10 - 6 sources - dynamic - read 20% (dynamic component)   , 219.75  
$mol_wire              , 1000x12 - 4 sources - dynamic (large web app)                , 318.93  
$mol_wire              , 1000x5 - 25 sources (wide dense)                             , 446.16  
$mol_wire              , 5x500 - 3 sources (deep)                                     , 196.09  
Oby                    , avoidablePropagation                                         , 291.48  
Oby                    , broadPropagation                                             , 320.67  
Oby                    , deepPropagation                                              , 123.28  
Oby                    , diamond                                                      , 251.33  
Oby                    , mux                                                          , 282.72  
Oby                    , repeatedObservers                                            , 55.01   
Oby                    , triangle                                                     , 84.85   
Oby                    , unstable                                                     , 60.15   
Oby                    , molBench                                                     , 343.45  
Oby                    , createDataSignals                                            , 39.82   
Oby                    , createComputations0to1                                       , 45.53   
Oby                    , createComputations1to1                                       , 79.31   
Oby                    , createComputations2to1                                       , 64.92   
Oby                    , createComputations4to1                                       , 84.40   
Oby                    , createComputations1000to1                                    , 48.92   
Oby                    , createComputations1to2                                       , 75.32   
Oby                    , createComputations1to4                                       , 42.97   
Oby                    , createComputations1to8                                       , 45.88   
Oby                    , createComputations1to1000                                    , 43.13   
